"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"CWT","CWT","","","",0,*,"","","","null {[]} {[]}
","CBOR Web Token (CWT) Claim","Logical Model for Data elements in CBOR Web Token (CWT) https://www.iana.org/assignments/cwt/cwt.xhtml","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"CWT.header","CWT.header","","","",0,1,"","","","http://smart.who.int/trust/StructureDefinition/COSEHeader {[]} {[]}
","COSE Header","Header","","","","","","","","","",,,,,"",,,,"CWT.header",0,1,"",""
"CWT.payload","CWT.payload","","","",0,1,"","","","http://smart.who.int/trust/StructureDefinition/CWTPayload {[]} {[]}
","CWT Payload","Payload","","","","","","","","","",,,,,"",,,,"CWT.payload",0,1,"",""
"CWT.signature","CWT.signature","","","",0,1,"","","","string {[]} {[]}
","Signature","Signature","","","","","","","","","",,,,,"",,,,"CWT.signature",0,1,"",""
