"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"COSE_Header","COSE_Header","","","",0,*,"","","","null {[]} {[]}
","COSE Headers","Data elements for COSE Headers https://www.iana.org/assignments/cose/cose.xhtml#header-parameters","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"COSE_Header.1","COSE_Header.1","","","",0,1,"","","","string {[]} {[]}
","Encryption Algorithm","alg(1)","","","","","","","","","",,,,,"",,,,"COSE_Header.1",0,1,"",""
"COSE_Header.4","COSE_Header.4","","","",0,1,"","","","string {[]} {[]}
","Key ID used to verify the signature of the certificate","keyid (4)","","","","","","","","","",,,,,"",,,,"COSE_Header.4",0,1,"",""
